,Step 0,Step 1,Step 2,Step 3,Step 4
0,-0.11163442691953143,-0.09555750466583704,-0.07571632259717644,-0.05501507683628959,-0.0396164253246542
1,-0.04165069776988169,-0.04411909327440962,-0.046037920245617536,-0.03798691539158011,-0.02855535620843569
2,-0.05345298613687162,-0.046273004372945264,-0.0347131259493879,-0.027433599026565836,-0.025433021323324118
3,-0.021398915742774277,-0.024750503071446495,-0.0284739815774131,-0.028144812128994362,-0.024777064906258472
4,-0.021767384534518056,-0.02134849441950175,-0.02564784335334802,-0.02770609034653093,-0.024038338341770937
5,-0.01974588108419629,-0.032686249175939534,-0.0463313824750575,-0.037025208666087606,-0.0214157205611597
6,-0.00924782390716418,-0.009435508129946507,-0.011057287987607967,-0.00948439740030102,-0.005968427831069434
7,-0.0030102758943164887,-0.005221362075811642,-0.004365652320580893,-0.003083857361132397,-0.004333124990940823
8,0.0,0.0,0.0,0.0,0.0
